SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
AOL,coxreels.com,1125-4-450-AB,1125 Series | Coxreels,"COXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200. Please refer to Overall Dimensions and ...",https://www.coxreels.com/1125-series_8_13.html,1,True
AOL,coxreels.com,1125-4-450-AB,1125 Series | Coxreels Motorized Hose Reels,"COXREELS ® 1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.coxreels.com/1125-series_8_15.html,2,True
AOL,coxreels.com,1125-4-450-AB,1125 SERiES - Coxreelsales.com,"COXREELS®1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. 1125 SERiESHand CRank & MOtOR dRivEn HOSE REELS",https://www.coxreelsales.com/pdf/1125-series.pdf,3,True
AOL,coxreels.com,1125-4-450-AB,HP1125 Series | Coxreels High Pressure Hand Crank Hose Reels,"Hose Strain Relief Kit. COXREELS® HP1125 Series is like our 1125 Series but is built to spec to handle high pressure applications of up to 5,000 PSI. Featuring hand crank retraction, full-flow super swivels, and low-profile riser for smooth hose wraps; all built on a heavy-duty.",https://www.coxreels.com/hp1125-series_8_16.html,4,True
AOL,coxreels.com,1125-4-450-AB,Coxreels 1125 Series | Coxreels Hose Reels,"Coxreels® 1125 Series motorized hose reels meet industry professional’s demands. Features such as, a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap, making it the industry’s preferred design. Click to view Motor Options.",https://www.coxreelsales.com/motorized-1125Series.php,5,True
AOL,coxreels.com,1125-4-450-AB,HP1125 Series | Coxreels High Pressure Motorized Hose Reels,"COXREELS® HP1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: HP1125-4-200-E.",https://www.coxreels.com/hp1125-series_8_17.html,6,True
AOL,coxreels.com,1125-4-450-AB,Industrial Cable Reel - Customized Cord Reel Solutions,Alert Reel Manufacturing - Leading Manufacturer Of Premium Retractable Power Cord Reels. Keep Your Cords Organized and Within Reach with Our Durable and Affordable Cord Reels!,https://search.aol.com/click/cbclk2/dWU9RDkyREYwNEIxQzNDNEM2MSZ1dD0xNjk3MTE0MDE2MDUzJnVvPTc3MTcyMTYxMjg5NDQ0Jmx0PTImcz0xJmVzPUFyMXh3VFFHUFMuRWNiOUozZGlWQTQyRGR5OGlEX1lJUUIwN0p3MEU-/RV=2/RE=1697142816/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de80gVpl5k1KrqRfVCzYMzfCTVUCUy6EnJGqf2zlHwGOlEAtFXcTUeape5a5Hdr-4DTuTbQCNsBmX5b81b4Pl3EG_ANElk9IuTctuXSPXQa40lzN1Ao6JwmFYNSI3yu5ZrVC7M8CvtcXUkO9q1fD4rHUX5-nQNl-Sw3777oy0Q2UFp0LWbDcC9Fx3xdVQYM3aWOiEnu4g%26u%3daHR0cHMlM2ElMmYlMmZhbGVydHJlZWxzLmNvbSUyZnByb2R1Y3QtY2F0ZWdvcnklMmZjb3JkLXJlZWxzJTJmJTNmdXRtX3Rlcm0lM2Rjb3JkJTI1MjByZWVsJTI2dXRtX2NhbXBhaWduJTNkUDElMmItJTJiQ29yZCUyYlJlZWxzJTI2dXRtX3NvdXJjZSUzZGJpbmclMjZ1dG1fbWVkaXVtJTNkcHBjJTI2aHNhX2FjYyUzZDQ0NTE3NDkyNjAlMjZoc2FfY2FtJTNkMTk2MzgwODUzNTclMjZoc2FfZ3JwJTNkMTIzNDc1MTkwMDIwMTI4OSUyNmhzYV9hZCUzZCUyNmhzYV9zcmMlM2RvJTI2aHNhX3RndCUzZGt3ZC03NzE3MjI2MTU0ODE3OSUzYWxvYy05MCUyNmhzYV9rdyUzZGNvcmQlMjUyMHJlZWwlMjZoc2FfbXQlM2RwJTI2aHNhX25ldCUzZGFkd29yZHMlMjZoc2FfdmVyJTNkMyUyNm1zY2xraWQlM2RkMjNiNTRjZGZlY2IxNTA2NzNkMTMxZWExOTZiMDljYSUyNnV0bV9jb250ZW50JTNkQ29yZCUyNTIwUmVlbHM%26rlid%3dd23b54cdfecb150673d131ea196b09ca/RK=2/RS=D3QOsLVL6UF4e7aJaFQ.nVP2ljM-;_ylc=cnQDMQ--?IG=0afdde39882e450b910000000091d0c8&bt=1,7,True
AOL,coxreels.com,1125-4-450-AB,1125-4-325 Reel - Coxreels 1125-4-325,Shop Coxreels 1125 - 4 - 325 Hand Crank Medium Pressure Hose Reel for 1 / 2 X 325'. Serve Your Customers by Starting with the Best Equipment from WebstaurantStore®.,https://search.aol.com/click/cbclk2/dWU9RDkyREYwNEIxQzNDNEM2MSZ1dD0xNjk3MTE0MDE2MDUzJnVvPTc5MzcxMTU2MzQwNTUwJmx0PTImcz0xJmVzPUdxekRfc0VHUFM5cWJNWEZFaFFqS2hkYW5oSS5XdTBlZG5UeUxXSk8-/RV=2/RE=1697142816/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8Gu7o3xYFxivcCHf3cSzQjTVUCUxClEwdnc4orPgZDoke_sBzb0r1ewWDyY4iirO9kervL3WQ80rXLwk9ADboOQ-y0G0oKulyGL-D7F46L3GvFP8Y1Kh3-_7zZ0R18IRTiV9e9YeIR5bKltZZNugxMCcVfY3rQoo4sYm9v2jP5-uA-Enu59r3KnuaQaSq46o8J3mi8g%26u%3daHR0cHMlM2ElMmYlMmZ3d3cud2Vic3RhdXJhbnRzdG9yZS5jb20lMmZjb3hyZWVscy0xMTI1LTQtMzI1LWhhbmQtY3JhbmstbWVkaXVtLXByZXNzdXJlLWhvc2UtcmVlbC1mb3ItMS0yLXgtMzI1LWhvc2VzJTJmNDQxMTEyNTQzMjUuaHRtbCUzZm1zY2xraWQlM2QyOWQ5NWJhZWRmMTYxZTMxYTczNzNlODkzOGI2OTM1YSUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNnV0bV9jYW1wYWlnbiUzZERTQSUyNTIwJTI1N0MlMjUyMFRFWFQlMjUyMCUyNTdDJTI1MjBOb24lMjUyMFB1cmNoYXNlcnMlMjZ1dG1fdGVybSUzZFJlc3RhdXJhbnQlMjUyMEVxdWlwbWVudCUyNnV0bV9jb250ZW50JTNkUmVzdGF1cmFudCUyNTIwRXF1aXBtZW50JTI1MjBMYWJlbA%26rlid%3d29d95baedf161e31a7373e8938b6935a/RK=2/RS=eP3owiJVYk961E_wu8f3.6fEYdM-;_ylc=cnQDMQ--?IG=0afdde39882e450b910000000091d0c8&bt=1,8,True
AOL,coxreels.com,1125-4-450-AB,Coxreels 1125-4-200 - Heavy Duty Reels,All of Your Industry Specific Needs Can be Found on Zoro.com! Millions of Customers Choose Zoro. Fast & Free Shipping on Orders Over $592,https://search.aol.com/click/cbclk2/dWU9RDkyREYwNEIxQzNDNEM2MSZ1dD0xNjk3MTE0MDE2MDUzJnVvPTgzMDgyMTg2ODAyMzQwJmx0PTImcz0xJmVzPUhSNXdOYXdHUFNfNWJFV2lxSVZQa2RKaVdfcGJKb1BGZ2hTYlZiMWk-/RV=2/RE=1697142816/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8Z7IVU1uBcw3nIq8QcCJu5zVUCUxfJp02G_2MVT7l96nP8uZLxqUTw_MbXbDIKGJZJpJIK5okOMbYB_My9pEsy0HDhj886S6kAFGu3A_nHUEkVXnFH3N7PdpqUMDVg0etlB7iwHN1i02wTT8GckBbMw7axOGQhzpcCCWhX4_PSooLXA6ccPIY4rWo38tUT6odOd5ZOg%26u%3daHR0cHMlM2ElMmYlMmZjbGlja3NlcnZlLmRhcnRzZWFyY2gubmV0JTJmbGluayUyZmNsaWNrJTNmbGlkJTNkMzk3MDAwNzI4MTU3ODYwMzIlMjZkc19zX2t3Z2lkJTNkNTg3MDAwMDgwMDQ4NTM3NTUlMjZkc19hX2NpZCUzZDY2NjcyOTU4NyUyNmRzX2FfY2FpZCUzZDE4MjExMzk1NTAwJTI2ZHNfYV9hZ2lkJTNkMTQ5MTkwMTI3Mzg4JTI2ZHNfYV9saWQlM2Rkc2EtMTczMjY1MTY3NDE0MyUyNiUyNmRzX2VfYWRpZCUzZDgzMDgyMTg2ODAyMzQwJTI2ZHNfZV90YXJnZXRfaWQlM2RkYXQtMjMzNDg4MTY2MTE1NzMzNSUzYWxvYy05MCUyNiUyNmRzX2VfbmV0d29yayUzZG8lMjZkc191cmxfdiUzZDIlMjZkc19kZXN0X3VybCUzZGh0dHBzJTNhJTJmJTJmd3d3Lnpvcm8uY29tJTJma2JtdCUyZmNveHJlZWxzLTExMjUtNC0yMDAlMmYlM2ZnY2xpZCUzZGRkNzgyMzllZGI5ODEzZGU0OTVhNDZiOTNjMzgyOWEzJTI2Z2Nsc3JjJTNkM3AuZHMlMjYlMjZtc2Nsa2lkJTNkZGQ3ODIzOWVkYjk4MTNkZTQ5NWE0NmI5M2MzODI5YTMlMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2R0ZXh0X3Jsc2FfZHNhX25hX25hX0RTQSUyNTIwZXhwYW5zaW9uJTI1MjAtJTI1MjBHcmFpbmdlciUyNnV0bV90ZXJtJTNkciUyNTIwdHJhbnMlMjZ1dG1fY29udGVudCUzZFRleHRfJTI1MjREU0ElMjUyMGR5bmFtaWMlMjUyMGFkJTI1MjBncm91cF9WQUxWT0xJTkUlMjUyMHByb2R1Y3Q%26rlid%3ddd78239edb9813de495a46b93c3829a3/RK=2/RS=QM1X.WTzbWfN8jPDa6CvrQtTl0k-;_ylc=cnQDMQ--?IG=0afdde39882e450b910000000091d0c8&bt=1,9,True
AOL,coxreels.com,1125-4-450-AB,Shop cox reels - Amazon - Amazon.com Official Site,Find Deals on cox reels in Tools on Amazon.,https://search.aol.com/click/cbclk2/dWU9RDkyREYwNEIxQzNDNEM2MSZ1dD0xNjk3MTE0MDE2MDUzJnVvPTgzNDk0NDI0NDEyMjUxJmx0PTImcz0xJmVzPU51U2dSZDhHUFNfcFRkRi5OZktkbFdnNF9uVEJySlpFM1NscnVQRS0-/RV=2/RE=1697142816/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8qUoztu908FUZiA00JBFJRDVUCUy0eJcrYY5BbbBNQnobne-bCd39WKwmtj9vSf-4N5yw9HL4hW-F6OFoZj1LsLLv53UmAa21b-9slIIpaPdn3-Z0zYNet_JXbEz0WdiTcl58waVcIrNfCo_Ks0Qerw2ku_6WnhL4eP-Lz-FssXO1pSTy-BJNwcDiG1hwlOWLY5Z2cg%26u%3daHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmNvbSUyZnMlMmYlM2ZpZSUzZFVURjglMjZrZXl3b3JkcyUzZGNveCUyYnJlZWxzJTI2aW5kZXglM2RpbmR1c3RyaWFsJTI2dGFnJTNkbWgwYi0yMCUyNnJlZiUzZHBkX3NsXzZzMWpjazkzYzlfcCUyNmFkZ3JwaWQlM2QxMzM1OTA3OTEwMzAzNzMzJTI2aHZhZGlkJTNkODM0OTQ0MjQ0MTIyNTElMjZodm5ldHclM2RvJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RicCUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNTczNTAlMjZodnRhcmdpZCUzZGt3ZC04MzQ5NTExNzY5NjM5NiUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNDM4XzEwNDI0MjMx%26rlid%3dacc31c8368da1bfc36b779a48f7ae679/RK=2/RS=CTVa9MuhkreoG.JU2c5PRkoRruI-;_ylc=cnQDMQ--?IG=0afdde39882e450b910000000091d0c8&bt=1,10,True
