SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
ASK,coxreels.com,1125-4-450-AB,www.coxreels.com/1125-series_8_15.html,COXREELS® 1125 Series is the industry preferred motor rewind hose reel and a tried-and-true workhorse for durability & reliability.,https://www.coxreels.com/1125-series_8_15.html,1,False
ASK,coxreels.com,1125-4-450-AB,www.coxreels.com/1125-series_8_13.html,"Request CAD File. 1125-4-450. I.D, 1/2"". O.D, 7/8"". Length, 450'. Hose, No. Max PSI, 3000. Ship Weight (lbs), 52. Drum Width, 24. Overall Dimensions (W) (H) (L) ...",https://www.coxreels.com/1125-series_8_13.html,2,False
ASK,coxreels.com,1125-4-450-AB,www.amazon.in/Coxreels-1125-4-450-AB-Compressed-Motor-Rewind/dp/B00EKQGFZY,"Coxreels 1125-4-450-AB Compressed Air #6 Gast Motor Rewind Hose Reel: 1/2"" I.D., 450' hose capacity, less hose, 3000 PSI : Amazon.in: Garden & Outdoors.",https://www.amazon.in/Coxreels-1125-4-450-AB-Compressed-Motor-Rewind/dp/B00EKQGFZY,3,False
ASK,coxreels.com,1125-4-450-AB,www.coxreels.com/docs/catalogs/coxreels-catalog-2016/COXREELS_2016_Catalog_Pg-40.pdf,"AB. AIR - 6 VANE. CAST IRON AIR MOTOR. 8. C. FRONT HAND CRANK. BEVEL GEARED CRANK. 3 ... 1125-4-450 1⁄2"". 7⁄8"" 450 3⁄8"" 3⁄4"" 625. 1⁄2"" F NPT. 3,000 HP1125-4-450 ...",http://www.coxreels.com/docs/catalogs/coxreels-catalog-2016/COXREELS_2016_Catalog_Pg-40.pdf,4,False
ASK,coxreels.com,1125-4-450-AB,www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab,COXREELS 1125-4-450-AB ... R.S. Hughes carries hose reel to keep your facility organized and safe. Coxreels created the hose reel to hold a 700 ft hose. Coxreels ...,https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab/,5,False
ASK,coxreels.com,1125-4-450-AB,www.industrialproducts.com/coxreels-1125-4-450-ab-1125-series-motorized-hose-reel-for-1-2-inch-x-450-foot-hoses-with-6-vane-cast-iron-air-motor.html,"Coxreels 1125-4-450-AB 1125 Series Motorized Hose Reel for 1/2"" x 450' Hoses with #6 VANE Cast Iron Air Motor.",https://www.industrialproducts.com/coxreels-1125-4-450-ab-1125-series-motorized-hose-reel-for-1-2-inch-x-450-foot-hoses-with-6-vane-cast-iron-air-motor.html,6,False
ASK,coxreels.com,1125-4-450-AB,www.onehydraulics.com/products/1125-4-450-a,Coxreels 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a ...,https://www.onehydraulics.com/products/1125-4-450-a,7,False
ASK,coxreels.com,1125-4-450-AB,www.sprayerdepot.com/products/coxreels-reg-1125-4-450-e-1125-series-electric-hose-reel,"Designed with the industry professional in mind - 1125 series reels are durable and user friendly. The 1125-4-450-E-XXY electric rewind reel features a welded "" ...",https://www.sprayerdepot.com/products/coxreels-reg-1125-4-450-e-1125-series-electric-hose-reel,8,False
ASK,coxreels.com,1125-4-450-AB,www.productsforautomation.com/coxreels-1125-motor-driven-nohose-11254450e-p/1125-4-450-e.htm,"1125-4-450-E has a 7/8"" OD hose capacity up to 450 ft and can be used for applications up to 3000 psi. Features an electric 12V DC, 1/3 HP motor.",https://www.productsforautomation.com/coxreels-1125-motor-driven-nohose-11254450e-p/1125-4-450-e.htm,9,False
ASK,coxreels.com,1125-4-450-AB,www.zoro.com/coxreels-motorized-hose-reel-12x200-1125-4-200-e/i/G7891843,"Order Coxreels Motorized Hose Reel, 1/2x200, 1125-4-200-E at Zoro.com. Great ... AB · COXREELS Elec Hybrid Hose Reel 1inx450ft, 12VDC 1660-2428-E · Coxreels ...",https://www.zoro.com/coxreels-motorized-hose-reel-12x200-1125-4-200-e/i/G7891843/,10,False
ASK,coxreels.com,1125-4-450-AB,www.norco-inc.com/ASSETS/DOCUMENTS/ITEMS/EN/COX-1125WCL-6-C-Catalog.pdf,"1125-4-450 1⁄2”. 7⁄8”. 450. 3⁄8”. 3⁄4”. 625 1⁄2” F NPT 90˚ 1⁄2” F NPT 3,000. 52. 4 ... 4 Mix & Match Up To Four Coxreels. Models. 4 Durable Crinkle Black Powder- ...",https://www.norco-inc.com/ASSETS/DOCUMENTS/ITEMS/EN/COX-1125WCL-6-C-Catalog.pdf,11,False
ASK,coxreels.com,1125-6-50-EA,www.reference.com/world-view/can-play-sims-online-now-876778a5154ffd5f,"As of May 2015, “The Sims” can be played online at puffgames.com, ea.com, and a10.com. “The Sims 2” can also be played online free at game-oldies.com. At puffgames.com, playing “The Sims” is pretty straightforward.",https://www.reference.com/world-view/can-play-sims-online-now-876778a5154ffd5f?utm_content=params%3Ao%3D740005%26ad%3DdirN%26qo%3DserpIndex&ueid=58e64ed5-a2c5-4fd3-a903-60077845bdd8,1,False
ASK,coxreels.com,1125-6-50-EA,www.reference.com/world-view/sims-3-registration-code-c80aa1f83d74a8e7,The Sims 3 registration code is a 20-digit number that permits players to register on the official EA website or through the Origin client. A registered copy of the game gives access to the online community and store.,https://www.reference.com/world-view/sims-3-registration-code-c80aa1f83d74a8e7?utm_content=params%3Ao%3D740005%26ad%3DdirN%26qo%3DserpIndex&ueid=58e64ed5-a2c5-4fd3-a903-60077845bdd8,2,False
ASK,coxreels.com,1125-6-50-EA,investorplace.com/hot-topics/sol-usd,"Stocks to Buy Stocks to Buy Stocks to Buy Stocks to Buy Stocks to Buy Financial Market Data powered by FinancialContent Services, Inc. All rights reserved. Nasdaq quotes delayed at least 15 minutes, all others at least 20 minutes. Copyright...",https://investorplace.com/hot-topics/sol-usd/,3,False
ASK,coxreels.com,1125-6-50-EA,www.coxreels.com/1125-series_8_15.html,"... 1125 Series ... 1125-6-50-EA, 1"", 1 7/16"", 50', No, 3000, 81, 29.88""(W) 18.5""(H) 17.63""(L), 25.94""(M) ...",https://www.coxreels.com/1125-series_8_15.html,4,False
ASK,coxreels.com,1125-6-50-EA,www.coxreels.com/1125-series_8_13.html,"Request CAD File. 1125-6-50-C. I.D, 1"". O.D, 1 7/16"". Length, 50'. Hose, No. Max PSI, 3000. Ship Weight (lbs), 55. Drum Width, 15.5. Overall Dimensions (W) (H) ...",https://www.coxreels.com/1125-series_8_13.html,5,False
