SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
BING,coxreels.com,1125-4-450-AB,1125 Series | Coxreels,"WebCOXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200.",https://www.coxreels.com/1125-series_8_13.html,1,False
BING,coxreels.com,1125-4-450-AB,1125 Series | Coxreels Motorized Hose Reels,"WebCOXREELS ® 1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.coxreels.com/1125-series_8_15.html,2,False
BING,coxreels.com,1125-4-450-AB,1125 SERiES - Coxreels,"WebCOXREELS®1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. 1125 SERiESHand CRank & MOtOR dRivEn …",http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,3,False
BING,coxreels.com,1125-4-450-AB,HP1125 Series | Coxreels High Pressure Hand Crank Hose Reels,"WebCOXREELS® HP1125 Series is like our 1125 Series but is built to spec to handle high pressure applications of up to 5,000 PSI. Featuring hand crank retraction, full-flow super swivels, and low-profile riser for smooth hose wraps; all built on a heavy-duty",https://www.coxreels.com/hp1125-series_8_16.html,4,False
BING,coxreels.com,1125-4-450-AB,1125-SS Series | Coxreels Stainless Steel Motorized Hose Reels,WebSolid steel direct hand crank with smooth round handle. See Motor Options Chart. Available in hand crank options. Signature Features. Professional grade heavy duty steel construction. Rolled edges & ribbed discs provide strength & safety. Leading 2-year manufacturer's limited warranty. Made in the U.S.A. - Sold & Supported Worldwide.,https://www.coxreels.com/1125-ss-series_8_109.html,5,False
BING,coxreels.com,1125-4-450-AB,Coxreels 1125-4-450-AB Compressed Air #6 Gast Motor Rewind …,"WebCOXREELS 1125-4-450-AB - Compressed Air #6 Gast Motor Rewind Hose Reel: 1/2 I.D., 450' hose capacity, less hose, 3000 PSI",https://www.royalsupply.com/store/pc/COXREELS-1125-4-450-AB-Compressed-Air-6-Gast-Motor-Rewind-Hose-Reel-p89755.htm,6,False
BING,coxreels.com,1125-4-450-AB,"Coxreels 1125-4-450-AB Hose Reel, 700 ft Capacity, Compressed …","WebProduct type: Hose Reel, Part #: 1125-4-450-AB, Pack Qty: 1 each",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab/,7,False
BING,coxreels.com,1125-4-450-AB,Coxreels 1125 Series | Coxreels Hose Reels - Coxreelsales.com,"WebFeatures. Dimensions. Catalogs. Free Quote! Medium Pressure Models. Reels are furnished with standard one wire braid hose suitable for air, water or oil applications. Maximum temperature 250° F. Note: Do not exceed listed hose O.D. to obtain maximum length. Click to view Reels Accessories. Email this Page.",https://www.coxreelsales.com/hand-crank-1125Series.php,8,False
BING,coxreels.com,1125-4-450-AB,Coxreels 1125 Series | Coxreels Hose Reels,"WebCoxreels® 1125 Series motorized hose reels meet industry professional’s demands. Features such as, a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap, making it the industry’s preferred design. Click to view Motor Options. Call us TODAY at 727-835-0673 …",https://www.coxreelsales.com/motorized-1125Series.php,9,False
BING,coxreels.com,1125-4-450-AB,HP1125-4-450-AB Coxreels - Distributors and Price Comparison,"WebFind the best pricing for Coxreels HP1125-4-450-AB by comparing bulk discounts from 1 distributors. Octopart is the world's source for HP1125-4-450-AB availability, pricing, and technical specs and other electronic parts.",https://octopart.com/hp1125-4-450-ab-coxreels-74764616,10,False
BING,coxreels.com,1125-6-50-EA,1125 Series | Coxreels,"WebCOXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200.",https://www.coxreels.com/1125-series_8_13.html,1,False
BING,coxreels.com,1125-6-50-EA,1125 Series | Coxreels Motorized Hose Reels,"WebCOXREELS ® 1125 Series motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.coxreels.com/1125-series_8_15.html,2,False
BING,coxreels.com,1125-6-50-EA,1125 SERiES - Coxreels,Web1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models) •External fluid path with electroless nickel plated steel 90° full-flow NPT swivel inlet(On high pressure HP prefix models),http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,3,False
BING,coxreels.com,1125-6-50-EA,1125-6-50-EA : Coxreels 1125-6-50-EA Electric 115V EX 1/2HP …,"WebCoxreels 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded A-frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap.",https://www.onehydraulics.com/products/1125-6-50-ea,4,False
BING,coxreels.com,1125-6-50-EA,1 / 2 - 1 1125 SERIES HAND CRANK & MOTOR DRIVEN HOSE REELS,"WebCOXREELS® 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece ... EA 115 V AC, 1 ⁄2 HP EXP. EXPLOSION PROOF REVERSIBLE AC RECTIFIED 26 ... 1125-5-50 3⁄4"" 11⁄4"" 50 1⁄2"" 7⁄8"" 100 3⁄4"" F NPT 3,000 HP1125-5-50 4,500 38 6 …",https://www.coxreels.com/docs/catalogs/2021-catalogs/catalog-per-page/COXREELS-2021-Catalog-Page44.pdf,5,False
BING,coxreels.com,1125-6-50-EA,COXREELS® 1125-6-50-EA | Turtle & Hughes,Web115VAC Electric Explosion Proof Motor Rewind Hose Reel:1,https://www.turtle.com/3047620/Product/coxreels-1125-6-50-ea,6,False
BING,coxreels.com,1125-6-50-EA,"Coxreels 1125-6-50-EA Hose Reel, 115V Electric, 50 Ft, No Hose","WebCoxreels 1125-6-50-EA hose reel has a 1-7/16"" OD hose capacity up to 50 ft. For applications up to 3000 psi. Features an electric 115V AC motor. Hose not included.",https://www.productsforautomation.com/coxreels-1125-motor-driven-nohose-1125650ea-p/1125-6-50-ea.htm,7,False
BING,coxreels.com,1125-6-50-EA,"Coxreels 1125-6-50-EA Hose Reel, 75 ft Capacity, 115V, Electric …","WebProduct type: Hose Reel, Part #: 1125-6-50-EA, Pack Qty: 1 each",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-50-Ft-Hose-Not-Included-75-Ft-Capacity-Electric-Drive-115V-1125-6-50-EA/coxreels_1125_6_50_ea/,8,False
BING,coxreels.com,1125-6-50-EA,1125-6-50-EA Coxreels - Distributors and Price Comparison,"WebFind the best pricing for Coxreels 1125-6-50-EA by comparing bulk discounts per 1,000. Octopart is the world’s source for Coxreels 1125-6-50-EA availability, pricing, and technical specs and other electronic parts",https://octopart.com/1125-6-50-ea-coxreels-67155527,9,False
BING,coxreels.com,1125-6-50-EA,COXREELS,"Webcoxreels motorized 1125 series exp-111 revision: eco no.: by: date: k 2944 j. kusbel 7/19/2012 option-ea-eb-ed-e-ef cm-1125-a cm-1125-ea cm-1125-eb cm-1125-ed cm-1125-e cm-1125-ef air (#4 case size) 115vac electric, expl proof(1/2hp) 24vdc elec., expl proof (1/2hp) 12vdc elec., expl proof (1/2hp) 12vdc electric (1/3hp) ... 1125-5-50-x 7456-6 7450 …",http://www.coxreels.com/docs/categories/motorized-reels/1125-series/exploded%20drawing/motorized-reels-1125-series-exploded-drawing.pdf,10,False
BING,coxreels.com,1125-6-35-EA,1125 Series | Coxreels,"WebCOXREELS® 1125 Series hand crank hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Model Shown: 1125-4-200.",https://www.coxreels.com/1125-series_8_13.html,1,False
BING,coxreels.com,1125-6-35-EA,1125 Series | Coxreels Motorized Hose Reels,"Web1125-6-35-EA: 1"" 1 7/16"" 35' No: 3000: 76: 23.88""(W) 18.75""(H) 17.63""(L) 14.94""(M) 10""(N) 14.88""(X) 16""(Y) Request CAD File",https://www.coxreels.com/1125-series_8_15.html,2,False
