SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
GOOGLE,coxreels.com,1125-4-450-AB,1125 Series // Motorized Hose Reels - Coxreels,Exclusive low profile outlet riser & open drum slot design for flat smooth hose wrap. Permanently lubricated self-aligning pillow block bearings for trouble- ...,/url?q=https://www.coxreels.com/1125-series_8_15.html&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAYQAg&usg=AOvVaw1udtdlkKYzZQY0AaRsj5cc,1,False
GOOGLE,coxreels.com,1125-4-450-AB,1125 Series // Hand Crank Hose Reels - Coxreels,"Request CAD File. 1125-4-450. I.D, 1/2"". O.D, 7/8"". Length, 450'. Hose, No. Max PSI, 3000. Ship Weight (lbs), 52. Drum Width, 24. Overall Dimensions (W) (H) (L) ...Missing:  AB | Show results with:AB",/url?q=https://www.coxreels.com/1125-series_8_13.html&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAoQAg&usg=AOvVaw3oNG6fxImy7XgiZTD1pVsh,2,False
GOOGLE,coxreels.com,1125-4-450-AB,[PDF] 1125 series hand crank & motor driven hose reels - Coxreels,"AB. AIR - 6 VANE. CAST IRON AIR MOTOR. 8. C. FRONT HAND CRANK. BEVEL GEARED CRANK. 3 ... 1125-4-450 1⁄2"". 7⁄8"" 450 3⁄8"" 3⁄4"" 625. 1⁄2"" F NPT. 3,000 HP1125-4-450 ...",/url?q=http://www.coxreels.com/docs/catalogs/coxreels-catalog-2016/COXREELS_2016_Catalog_Pg-40.pdf&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAkQAg&usg=AOvVaw0P1Pg1_XxFAtq-HqpR-JPz,3,False
GOOGLE,coxreels.com,1125-4-450-AB,Coxreels 1125-4-450-AB Compressed Air #6 Gast Motor Rewind ...,"Rating  4.1  (32) Coxreels 1125-4-450-AB Compressed Air #6 Gast Motor Rewind Hose Reel: 1/2"" I.D., 450' hose capacity, less hose, 3000 PSI : Amazon.in: Garden & Outdoors.",/url?q=https://www.amazon.in/Coxreels-1125-4-450-AB-Compressed-Motor-Rewind/dp/B00EKQGFZY&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAUQAg&usg=AOvVaw1z98WweCSnbs8bNBa9bAUX,4,False
GOOGLE,coxreels.com,1125-4-450-AB,"Coxreels 1125-4-450-AB Hose Reel, 700 ft Capacity, Compressed ...","$1,330.95Coxreels 1125 Series Hose Reel - 450 ft Hose Not Included - 700 ft Capacity - Compressed Air Drive - 1125-4-450-AB. COXREELS 1125-4-450-AB.",/url?q=https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-450-Ft-Hose-Not-Included-700-Ft-Capacity-Compressed-Air-Drive-1125-4-450-AB/coxreels_1125_4_450_ab/&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAgQAg&usg=AOvVaw3uUtL_xlBBqX6JdMIezZ0h,5,False
GOOGLE,coxreels.com,1125-4-450-AB,1125-4-450-AB - Coxreels 1125 Series Motorized Hose Reel,"$1,407.00Part Number: 1125-4-450-AB, Product: Coxreels 1125 Series Motorized Hose Reel, Model: Cast iron 6-vane air motor, Max Pressure: 3000 PSI, Supported Hose ...",/url?q=https://www.compressorworld.com/configuration/69158%3F87155%3D491516%2687156%3D491517%2687157%3D491600%2687158%3D491586&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAQQAg&usg=AOvVaw1KSe7Qw1ZbSDs0DfT3YAop,6,False
GOOGLE,coxreels.com,1125-4-450-AB,Coxreels 1125-4-450-AB 1125 Series Motorized Hose Reel for 1/2 ...,"$1,181.88Coxreels 1125-4-450-AB 1125 Series Motorized Hose Reel for 1/2"" x 450' Hoses with #6 VANE Cast Iron Air Motor ; 3,000 · Motorized · Hose · 17-5/8"" · 35"".",/url?q=https://www.industrialproducts.com/coxreels-1125-4-450-ab-1125-series-motorized-hose-reel-for-1-2-inch-x-450-foot-hoses-with-6-vane-cast-iron-air-motor.html&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAMQAg&usg=AOvVaw2qccxPUF3XfkBvwr-hAzHf,7,False
GOOGLE,coxreels.com,1125-4-450-AB,Compressed Air #6 Gast Motor Rewind Hose Reel - COXREELS ...,"$1,230.64COXREELS 1125-4-450-AB - Compressed Air #6 Gast Motor Rewind Hose Reel: 1/2 I.D., 450' hose capacity, less hose, 3000 PSI.",/url?q=https://www.royalsupply.com/store/pc/COXREELS-1125-4-450-AB-Compressed-Air-6-Gast-Motor-Rewind-Hose-Reel-p89755.htm&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAEQAg&usg=AOvVaw28-JKY9Swg23bMXCi_tZR_,8,False
GOOGLE,coxreels.com,1125-4-450-AB,"Coxreels 1125-4-450-A | Motorized Hose Reel, Medium Pressure, 1 ...","$1,195.09Motorized Hose Reel, Medium Pressure, 1/2 Inch Inner Dia., 450 Feet Length | CF3PLT | Worldwide Delivery | +44 203 287 5224 | sales@raptorsupplies.com.",/url?q=https://www.raptorsupplies.com/pd/coxreels/1125-4-450-a&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAcQAg&usg=AOvVaw0-a-pnXxh40kQP6WWGvBz1,9,False
GOOGLE,coxreels.com,1125-4-450-AB,"Coxreels 1125-4-450-AB | Motorized Hose Reel, Medium Pressure ...","Ł2,148.88Item, Hose Reel. Base Size, 29.38 x 16"". Hose Length, 450 ft. Inside Dia. 1/2"". Max. Pressure, 3000 psi. Mounting Size, 27.44 x 10"". Outside Dia. 7/8"".",/url?q=https://www.raptorsupplies.co.uk/pd/coxreels/1125-4-450-ab&sa=U&ved=2ahUKEwiF89y4g_OBAxVfu5UCHQRXAx0QFnoECAAQAg&usg=AOvVaw1wzVS14gQbY-BardK8rdMX,10,False
