SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
YAHOO,coxreels.com,1125-4-450-AB,,,,1,False
YAHOO,coxreels.com,1125-4-450-AB,Shop cox reels - Amazon - Amazon.com Official Site,Find Deals on cox reels in Tools on Amazon. ,https://r.search.yahoo.com/cbclk2/dWU9QjlGRTdENTc1NDhBNENGRSZ1dD0xNjk3MjAwMTY3NTk0JnVvPTgzNDk0NDI0NDEyMjUxJmx0PTImcz0xJmVzPXJRLmNiUVVHUFNfWDhBVEUuVkQuTlhTdzlZcHFEVHguOEI0ZUhtby0-/RV=2/RE=1697228967/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8I4yznm3JJQGFr_aqar33BzVUCUyCvbD3lPJ2jFtgqHv9fs_-to0NixsUEJwh7h07uwqAa5fzSb5VMY3m0sPzzWPVPA-3EztzBZmkyxM2FXgwS96Frc533cMbDNbXpaAMBYoTC50UdF5iIwtBoYsJAkhSO4jwiUnAHHUtY_wuxvBh4Dk_AGppuc4zOSMSIt6ZsNiN-g%26u%3daHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmNvbSUyZnMlMmYlM2ZpZSUzZFVURjglMjZrZXl3b3JkcyUzZGNveCUyYnJlZWxzJTI2aW5kZXglM2RpbmR1c3RyaWFsJTI2dGFnJTNkbWgwYi0yMCUyNnJlZiUzZHBkX3NsXzZzMWpjazkzYzlfcCUyNmFkZ3JwaWQlM2QxMzM1OTA3OTEwMzAzNzMzJTI2aHZhZGlkJTNkODM0OTQ0MjQ0MTIyNTElMjZodm5ldHclM2RvJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RicCUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNDkwNTMlMjZodnRhcmdpZCUzZGt3ZC04MzQ5NTExNzY5NjM5NiUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNDM4XzEwNDI0MjMx%26rlid%3daf2a316879861e770220544141a1b320/RK=2/RS=CFcSrorL6GDlr.m7neG1wD32Mng-;_ylc=cnQDMQ--?IG=0acefb79c1d44d649a00000000b9f267,2,False
YAHOO,coxreels.com,1125-4-450-AB,"Buy Coxreels 1125-4-200 - Available - In Stock, Only $282.99.",This Item Ships Free! Check out Millions of Products. Hand Crank Hose Reel Air Chemical Fluid Transfer Fire Booster Hose Hydro Seeding ,https://r.search.yahoo.com/cbclk2/dWU9QjlGRTdENTc1NDhBNENGRSZ1dD0xNjk3MjAwMTY3NTk0JnVvPTgyODc2MDI1NDczNDk5Jmx0PTImcz0xJmVzPUxmc2F6d2tHUFMuM2h2WHVvZ2JKQ0NUVjdTYzIxOEpKMHE0Wk9mVlM-/RV=2/RE=1697228967/RO=10/RU=https%3a%2f%2fwww.bing.com%2faclick%3fld%3de8pFj5J-gfOj4DLI-r7QDamDVUCUwWPT1UEI4bfkY1Oab6W41xIAB6yzuUjIqHFoz1mwY_DKpjkhLigS1asPIaJvgAt1czspIZ0EF7DKF-EagP1nMjOuj17ATD4SIbInGyUkac8QitFpavpbuZQRy4Xi2GAFiqf9-h1QcuJ8NiGjAHVYceO5uyP2Kts3brTGBxTN_zbw%26u%3daHR0cHMlM2ElMmYlMmZjbGlja3NlcnZlLmRhcnRzZWFyY2gubmV0JTJmbGluayUyZmNsaWNrJTNmbGlkJTNkNDM3MDAwNzI0ODg1OTA2NzAlMjZkc19zX2t3Z2lkJTNkNTg3MDAwMDc5Njc5ODExMjAlMjZkc19hX2NpZCUzZDY2NjczMTI3NiUyNmRzX2FfY2FpZCUzZDEyNDgxNjk5ODc2JTI2ZHNfYV9hZ2lkJTNkMTM4NTk5Nzk4NTQzJTI2ZHNfYV9saWQlM2Rrd2QtMzIwNDEyMTgyMDc2JTI2JTI2ZHNfZV9hZGlkJTNkODI4NzYwMjU0NzM0OTklMjZkc19lX3RhcmdldF9pZCUzZGt3ZC04Mjg3NjYxNDk1MzYxOSUzYWxvYy05MCUyNiUyNmRzX2VfbmV0d29yayUzZG8lMjZkc191cmxfdiUzZDIlMjZkc19kZXN0X3VybCUzZGh0dHBzJTNhJTJmJTJmd3d3Lnpvcm8uY29tJTJmY294cmVlbHMtaG9zZS1yZWVsLWhhbmQtY3JhbmstMTItaW4taWQteC0yMDAtZnQtMTEyNS00LTIwMCUyZmklMmZHMjUwMTk5MiUyZiUzZmdjbGlkJTNkNTFlNDcyNzgxODI4MTA5OWNlNjMxNzUxMjAwZjI3Y2IlMjZnY2xzcmMlM2QzcC5kcyUyNiUyNm1zY2xraWQlM2Q1MWU0NzI3ODE4MjgxMDk5Y2U2MzE3NTEyMDBmMjdjYiUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZGNwYyUyNnV0bV9jYW1wYWlnbiUzZHRleHRfbnJfaW52X25hX25hX2NhdDQ0MzktQ29tcHJlc3NvcnMlMjUyMEFpciUyNTIwVGFua3MlMjUyMGFuZCUyNTIwUG5ldW1hdGljJTI1MjBQYXJ0cyUyNTIwLSUyNTIwSG9zZSUyNTIwYW5kJTI1MjBDYWJsZSUyNTIwUmVlbHMlMjUyMC0lMjUyMGJpbmclMjZ1dG1fdGVybSUzZDExMjUlMjUyMDQlMjUyMDIwMCUyNnV0bV9jb250ZW50JTNkQ09YUkVFTFMlMjUyMCUyNTJCJTI1MjBIYW5kJTI1MjBDcmFuayUyNTIwSG9zZSUyNTIwUmVlbHMlMjUyMCUyNTJCJTI1MjAlMjUyNExUJTI1MjBHMjUwMTk5Mg%26rlid%3d51e4727818281099ce631751200f27cb/RK=2/RS=Gb34cWGbk2P7IGZEdg4ejCCcM7k-;_ylc=cnQDMQ--?IG=0acefb79c1d44d649a00000000b9f267,3,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › literature,"Main Catalog: Our full-color, 64 page catalog showcases the most extensive selection of hose reels, cord reels and cable reels and details COXREELS® product specifications and features in simplicity. Our main catalog is available in imperial and metric versions and downloadable in different paper sizes. To request a catalog in the mail, please ...",https://www.coxreels.com/literature.html,4,False
YAHOO,coxreels.com,1125-4-450-AB,www.lowes.com › pd › Coxreels-Coxreels-1125/4/200,"COXREELS® 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. SWIVEL - Machined from solid brass 90 full ...",https://www.lowes.com/pd/Coxreels-Coxreels-1125-4-200-Hand-Crank-Hose-Reel-1-2-in-I-D-200-ft-hose-capacity-less-hose-3000/5001560309,5,False
YAHOO,coxreels.com,1125-4-450-AB,www.coxreels.com › 1125-pure-flow-series_8_91,"Features. COXREELS® 1125 Pure Flow Series, hand crank retraction, have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. All Pure Flow hose reels come standard ...",https://www.coxreels.com/1125-pure-flow-series_8_91.html,6,False
YAHOO,coxreels.com,1125-4-450-AB,www.mrosupply.com › hydraulics-and-pneumatics,Image for Illustration purposes only. Actual product may vary Coxreels HP1125-4-450-A. MODEL HP1125-4-450-A. BRAND,https://www.mrosupply.com/hydraulics-and-pneumatics/2517468_hp1125-4-450-a_coxreels/,7,False
YAHOO,coxreels.com,1125-4-450-AB,www.sprayerdepot.com › products › coxreels-reg-1125,"Coxreels® manufactures their reels right here in the USA. Through performance, technology, and innovation they have perfected their product since opening in 1923. Designed with the industry professional in mind - 1125 series reels are durable and user friendly. The 1125-4-450 features a welded ""A"" frame base and will h",https://www.sprayerdepot.com/products/coxreels-reg-1125-4-450-1125-series-hand-crank-manual-hose-reel,8,False
YAHOO,coxreels.com,1125-4-450-AB,www.webstaurantstore.com › coxreels-1125/4/200,"Coxreels 1125-4-200 Details. Outfit your business with this Coxreels 1125-4-200 hand crank medium pressure hose reel! This hose reel is perfect for industrial businesses where space is limited, as it's designed to be used with a medium pressure 1/2"" x 200' air, water, or oil hose (sold separately). The single, welded, 12-gauge steel ""A"" frame ...",https://www.webstaurantstore.com/coxreels-1125-4-200-hand-crank-medium-pressure-hose-reel-for-1-2-x-200-hoses/44111254200.html,9,False
YAHOO,coxreels.com,1125-6-50-EA,,,,1,False
